A		SANDUSKY RIVER NEAR FREMONT
B		OBSERVED_EDITED
C		DISCHARGE
E		
F		USGS
Units		cms
Type		INST-VAL
258	07Jan2011  0830	10.09
259	07Jan2011  0900	10.09
260	07Jan2011  0930	10.09
261	07Jan2011  1000	10.09
262	07Jan2011  1030	10.32
263	07Jan2011  1100	10.51
264	07Jan2011  1130	10.71
265	07Jan2011  1200	11.14
266	07Jan2011  1230	11.36
267	07Jan2011  1300	11.59
268	07Jan2011  1330	11.79
269	07Jan2011  1400	11.36
270	07Jan2011  1430	11.36
271	07Jan2011  1500	11.36
272	07Jan2011  1530	11.36
273	07Jan2011  1600	11.36
274	07Jan2011  1630	11.59
275	07Jan2011  1700	11.79
276	07Jan2011  1730	12.02
277	07Jan2011  1800	12.24
278	07Jan2011  1830	12.24
279	07Jan2011  1900	12.47
280	07Jan2011  1930	12.47
281	07Jan2011  2000	12.47
282	07Jan2011  2030	12.24
283	07Jan2011  2100	12.24
284	07Jan2011  2130	12.02
285	07Jan2011  2200	12.02
286	07Jan2011  2230	11.79
287	07Jan2011  2300	11.79
288	07Jan2011  2330	11.79
289	08Jan2011  0000	0.00
290	08Jan2011  0030	0.00
291	08Jan2011  0100	0.00
292	08Jan2011  0130	0.00
293	08Jan2011  0200	0.00
294	08Jan2011  0230	0.00
295	08Jan2011  0300	0.00
296	08Jan2011  0330	0.00
297	08Jan2011  0400	0.00
298	08Jan2011  0430	0.00
299	08Jan2011  0500	0.00
300	08Jan2011  0530	0.00
301	08Jan2011  0600	0.00
302	08Jan2011  0630	0.00
303	08Jan2011  0700	0.00
304	08Jan2011  0730	0.00
305	08Jan2011  0800	0.00
306	08Jan2011  0830	0.00
307	08Jan2011  0900	0.00
308	08Jan2011  0930	0.00
309	08Jan2011  1000	0.00
310	08Jan2011  1030	0.00
311	08Jan2011  1100	0.00
312	08Jan2011  1130	0.00
313	08Jan2011  1200	0.00
314	08Jan2011  1230	0.00
315	08Jan2011  1300	0.00
316	08Jan2011  1330	0.00
317	08Jan2011  1400	0.00
318	08Jan2011  1430	0.00
319	08Jan2011  1500	0.00
320	08Jan2011  1530	0.00
321	08Jan2011  1600	0.00
322	08Jan2011  1630	0.00
323	08Jan2011  1700	0.00
324	08Jan2011  1730	0.00
325	08Jan2011  1800	0.00
326	08Jan2011  1830	0.00
327	08Jan2011  1900	0.00
328	08Jan2011  1930	0.00
329	08Jan2011  2000	0.00
330	08Jan2011  2030	0.00
331	08Jan2011  2100	0.00
332	08Jan2011  2130	0.00
333	08Jan2011  2200	0.00
334	08Jan2011  2230	0.00
335	08Jan2011  2300	0.00
336	08Jan2011  2330	0.00
337	09Jan2011  0000	0.00
338	09Jan2011  0030	0.00
339	09Jan2011  0100	0.00
340	09Jan2011  0130	0.00
341	09Jan2011  0200	0.00
342	09Jan2011  0230	0.00
343	09Jan2011  0300	0.00
344	09Jan2011  0330	0.00
345	09Jan2011  0400	0.00
346	09Jan2011  0430	0.00
347	09Jan2011  0500	0.00
348	09Jan2011  0530	0.00
349	09Jan2011  0600	0.00
350	09Jan2011  0630	0.00
351	09Jan2011  0700	0.00
