A		SANDUSKY RIVER NEAR FREMONT
B		OBSERVED_EDITED
C		DISCHARGE
E		
F		USGS
Units		cms
Type		INST-VAL
29257	02Sep2012  1200	0.91
29258	02Sep2012  1230	0.91
29259	02Sep2012  1300	0.91
29260	02Sep2012  1330	0.91
29261	02Sep2012  1400	0.91
29262	02Sep2012  1430	0.91
29263	02Sep2012  1500	0.91
29264	02Sep2012  1530	0.91
29265	02Sep2012  1600	0.91
29266	02Sep2012  1630	0.91
29267	02Sep2012  1700	0.91
29268	02Sep2012  1730	0.91
29269	02Sep2012  1800	0.91
29270	02Sep2012  1830	0.91
29271	02Sep2012  1900	0.91
29272	02Sep2012  1930	0.91
29273	02Sep2012  2000	0.91
29274	02Sep2012  2030	0.91
29275	02Sep2012  2100	0.91
29276	02Sep2012  2130	0.96
29277	02Sep2012  2200	0.96
29278	02Sep2012  2230	1.02
29279	02Sep2012  2300	1.02
29280	02Sep2012  2330	1.02
29281	03Sep2012  0000	1.08
29282	03Sep2012  0030	1.08
29283	03Sep2012  0100	1.13
29284	03Sep2012  0130	1.13
29285	03Sep2012  0200	1.22
29286	03Sep2012  0230	1.22
29287	03Sep2012  0300	1.22
29288	03Sep2012  0330	1.28
29289	03Sep2012  0400	1.28
29290	03Sep2012  0430	1.28
29291	03Sep2012  0500	1.28
29292	03Sep2012  0530	1.28
29293	03Sep2012  0600	1.28
29294	03Sep2012  0630	1.33
29295	03Sep2012  0700	1.33
29296	03Sep2012  0730	1.33
29297	03Sep2012  0800	1.33
29298	03Sep2012  0830	1.33
29299	03Sep2012  0900	1.33
29300	03Sep2012  0930	1.33
29301	03Sep2012  1000	1.33
29302	03Sep2012  1030	1.33
29303	03Sep2012  1100	1.33
29304	03Sep2012  1130	1.33
29305	03Sep2012  1200	1.33
29306	03Sep2012  1230	1.33
29307	03Sep2012  1300	1.33
29308	03Sep2012  1330	1.33
29309	03Sep2012  1400	1.33
29310	03Sep2012  1430	1.33
29311	03Sep2012  1500	1.28
29312	03Sep2012  1530	1.28
29313	03Sep2012  1600	1.28
29314	03Sep2012  1630	1.28
29315	03Sep2012  1700	1.28
29316	03Sep2012  1730	1.28
29317	03Sep2012  1800	1.28
29318	03Sep2012  1830	1.33
29319	03Sep2012  1900	1.33
29320	03Sep2012  1930	1.33
29321	03Sep2012  2000	1.33
29322	03Sep2012  2030	1.42
29323	03Sep2012  2100	1.42
29324	03Sep2012  2130	1.42
29325	03Sep2012  2200	1.53
29326	03Sep2012  2230	1.53
29327	03Sep2012  2300	1.62
29328	03Sep2012  2330	1.62
29329	04Sep2012  0000	1.70
29330	04Sep2012  0030	1.70
29331	04Sep2012  0100	1.70
29332	04Sep2012  0130	1.70
29333	04Sep2012  0200	1.81
29334	04Sep2012  0230	1.81
29335	04Sep2012  0300	1.81
29336	04Sep2012  0330	1.81
29337	04Sep2012  0400	1.70
29338	04Sep2012  0430	1.70
29339	04Sep2012  0500	1.70
29340	04Sep2012  0530	1.70
29341	04Sep2012  0600	1.70
29342	04Sep2012  0630	1.70
29343	04Sep2012  0700	1.70
29344	04Sep2012  0730	1.70
29345	04Sep2012  0800	1.70
29346	04Sep2012  0830	1.70
29347	04Sep2012  0900	1.70
29348	04Sep2012  0930	1.70
29349	04Sep2012  1000	1.62
29350	04Sep2012  1030	1.70
29351	04Sep2012  1100	1.81
29352	04Sep2012  1130	1.81
29353	04Sep2012  1200	2.01
29354	04Sep2012  1230	2.21
29355	04Sep2012  1300	2.30
29356	04Sep2012  1330	2.64
29357	04Sep2012  1400	2.98
29358	04Sep2012  1430	3.37
29359	04Sep2012  1500	3.85
29360	04Sep2012  1530	4.28
29361	04Sep2012  1600	4.56
29362	04Sep2012  1630	5.02
29363	04Sep2012  1700	5.19
29364	04Sep2012  1730	5.44
29365	04Sep2012  1800	5.58
29366	04Sep2012  1830	5.72
29367	04Sep2012  1900	6.01
29368	04Sep2012  1930	6.15
29369	04Sep2012  2000	6.29
29370	04Sep2012  2030	6.43
29371	04Sep2012  2100	6.57
29372	04Sep2012  2130	6.74
29373	04Sep2012  2200	6.89
29374	04Sep2012  2230	6.89
29375	04Sep2012  2300	7.06
29376	04Sep2012  2330	7.20
29377	05Sep2012  0000	7.37
29378	05Sep2012  0030	7.37
29379	05Sep2012  0100	7.54
29380	05Sep2012  0130	7.71
29381	05Sep2012  0200	8.05
29382	05Sep2012  0230	8.22
29383	05Sep2012  0300	8.39
29384	05Sep2012  0330	8.76
29385	05Sep2012  0400	9.13
29386	05Sep2012  0430	9.32
29387	05Sep2012  0500	9.52
29388	05Sep2012  0530	9.89
29389	05Sep2012  0600	10.09
29390	05Sep2012  0630	10.51
29391	05Sep2012  0700	10.71
29392	05Sep2012  0730	11.14
29393	05Sep2012  0800	11.36
29394	05Sep2012  0830	11.59
29395	05Sep2012  0900	12.02
29396	05Sep2012  0930	12.02
29397	05Sep2012  1000	12.24
29398	05Sep2012  1030	12.47
29399	05Sep2012  1100	12.47
29400	05Sep2012  1130	12.72
29401	05Sep2012  1200	12.95
29402	05Sep2012  1230	12.95
29403	05Sep2012  1300	12.95
29404	05Sep2012  1330	12.95
29405	05Sep2012  1400	12.95
29406	05Sep2012  1430	12.95
29407	05Sep2012  1500	12.95
29408	05Sep2012  1530	12.95
29409	05Sep2012  1600	12.95
29410	05Sep2012  1630	12.95
29411	05Sep2012  1700	12.95
29412	05Sep2012  1730	12.95
29413	05Sep2012  1800	12.95
29414	05Sep2012  1830	12.95
29415	05Sep2012  1900	12.72
29416	05Sep2012  1930	12.72
29417	05Sep2012  2000	12.47
29418	05Sep2012  2030	12.47
29419	05Sep2012  2100	12.47
29420	05Sep2012  2130	12.24
29421	05Sep2012  2200	12.02
29422	05Sep2012  2230	12.02
29423	05Sep2012  2300	12.02
29424	05Sep2012  2330	11.79
29425	06Sep2012  0000	11.79
29426	06Sep2012  0030	11.59
29427	06Sep2012  0100	11.36
29428	06Sep2012  0130	11.36
29429	06Sep2012  0200	11.14
29430	06Sep2012  0230	10.94
29431	06Sep2012  0300	10.71
29432	06Sep2012  0330	10.71
29433	06Sep2012  0400	10.51
29434	06Sep2012  0430	10.51
29435	06Sep2012  0500	10.32
29436	06Sep2012  0530	10.09
29437	06Sep2012  0600	10.09
29438	06Sep2012  0630	9.89
29439	06Sep2012  0700	9.89
29440	06Sep2012  0730	9.69
29441	06Sep2012  0800	9.52
29442	06Sep2012  0830	9.52
29443	06Sep2012  0900	9.32
29444	06Sep2012  0930	9.32
29445	06Sep2012  1000	9.13
29446	06Sep2012  1030	8.93
29447	06Sep2012  1100	8.93
29448	06Sep2012  1130	8.76
29449	06Sep2012  1200	8.76
29450	06Sep2012  1230	8.59
29451	06Sep2012  1300	8.59
29452	06Sep2012  1330	8.39
29453	06Sep2012  1400	8.39
29454	06Sep2012  1430	8.22
29455	06Sep2012  1500	8.05
29456	06Sep2012  1530	8.05
29457	06Sep2012  1600	7.88
29458	06Sep2012  1630	7.71
29459	06Sep2012  1700	7.71
29460	06Sep2012  1730	7.54
29461	06Sep2012  1800	7.54
29462	06Sep2012  1830	7.37
29463	06Sep2012  1900	7.37
29464	06Sep2012  1930	7.37
29465	06Sep2012  2000	7.20
29466	06Sep2012  2030	7.20
29467	06Sep2012  2100	7.06
29468	06Sep2012  2130	7.06
29469	06Sep2012  2200	6.89
29470	06Sep2012  2230	6.89
29471	06Sep2012  2300	6.74
29472	06Sep2012  2330	6.74
29473	07Sep2012  0000	6.57
29474	07Sep2012  0030	6.57
29475	07Sep2012  0100	6.43
29476	07Sep2012  0130	6.43
29477	07Sep2012  0200	6.29
29478	07Sep2012  0230	6.29
29479	07Sep2012  0300	6.15
29480	07Sep2012  0330	6.15
29481	07Sep2012  0400	6.15
29482	07Sep2012  0430	6.01
29483	07Sep2012  0500	6.01
29484	07Sep2012  0530	5.87
29485	07Sep2012  0600	5.87
29486	07Sep2012  0630	5.87
29487	07Sep2012  0700	5.72
29488	07Sep2012  0730	5.72
29489	07Sep2012  0800	5.72
29490	07Sep2012  0830	5.58
29491	07Sep2012  0900	5.58
29492	07Sep2012  0930	5.58
29493	07Sep2012  1000	5.58
29494	07Sep2012  1030	5.58
29495	07Sep2012  1100	5.58
29496	07Sep2012  1130	5.44
29497	07Sep2012  1200	5.44
29498	07Sep2012  1230	5.44
29499	07Sep2012  1300	5.58
29500	07Sep2012  1330	5.58
29501	07Sep2012  1400	5.58
29502	07Sep2012  1430	5.58
29503	07Sep2012  1500	5.72
29504	07Sep2012  1530	5.72
29505	07Sep2012  1600	5.87
29506	07Sep2012  1630	5.87
29507	07Sep2012  1700	6.01
29508	07Sep2012  1730	6.01
29509	07Sep2012  1800	6.15
29510	07Sep2012  1830	6.29
29511	07Sep2012  1900	6.29
29512	07Sep2012  1930	6.43
29513	07Sep2012  2000	6.57
29514	07Sep2012  2030	6.74
29515	07Sep2012  2100	6.89
29516	07Sep2012  2130	6.89
29517	07Sep2012  2200	7.20
29518	07Sep2012  2230	7.20
29519	07Sep2012  2300	7.37
29520	07Sep2012  2330	7.37
29521	08Sep2012  0000	7.54
29522	08Sep2012  0030	7.71
29523	08Sep2012  0100	7.88
29524	08Sep2012  0130	8.05
29525	08Sep2012  0200	8.39
29526	08Sep2012  0230	8.76
29527	08Sep2012  0300	8.93
29528	08Sep2012  0330	9.13
29529	08Sep2012  0400	9.13
29530	08Sep2012  0430	9.32
29531	08Sep2012  0500	9.32
29532	08Sep2012  0530	9.32
29533	08Sep2012  0600	9.52
29534	08Sep2012  0630	9.52
29535	08Sep2012  0700	9.69
29536	08Sep2012  0730	9.69
29537	08Sep2012  0800	9.89
29538	08Sep2012  0830	10.09
29539	08Sep2012  0900	10.09
29540	08Sep2012  0930	10.32
29541	08Sep2012  1000	10.51
29542	08Sep2012  1030	10.71
29543	08Sep2012  1100	10.94
29544	08Sep2012  1130	10.94
29545	08Sep2012  1200	11.14
29546	08Sep2012  1230	11.36
29547	08Sep2012  1300	11.36
29548	08Sep2012  1330	11.59
29549	08Sep2012  1400	11.59
29550	08Sep2012  1430	11.59
29551	08Sep2012  1500	11.79
29552	08Sep2012  1530	11.79
29553	08Sep2012  1600	11.79
29554	08Sep2012  1630	11.79
29555	08Sep2012  1700	11.59
29556	08Sep2012  1730	11.59
29557	08Sep2012  1800	11.59
29558	08Sep2012  1830	11.36
29559	08Sep2012  1900	11.36
29560	08Sep2012  1930	11.14
29561	08Sep2012  2000	11.14
29562	08Sep2012  2030	10.94
29563	08Sep2012  2100	10.71
29564	08Sep2012  2130	10.51
29565	08Sep2012  2200	10.32
29566	08Sep2012  2230	10.32
29567	08Sep2012  2300	10.09
29568	08Sep2012  2330	9.89
29569	09Sep2012  0000	9.69
29570	09Sep2012  0030	9.69
29571	09Sep2012  0100	9.52
29572	09Sep2012  0130	9.32
29573	09Sep2012  0200	9.13
29574	09Sep2012  0230	9.13
29575	09Sep2012  0300	8.93
29576	09Sep2012  0330	8.76
29577	09Sep2012  0400	8.76
29578	09Sep2012  0430	8.59
29579	09Sep2012  0500	8.59
29580	09Sep2012  0530	8.59
29581	09Sep2012  0600	8.59
29582	09Sep2012  0630	8.59
29583	09Sep2012  0700	8.59
29584	09Sep2012  0730	8.39
29585	09Sep2012  0800	8.39
29586	09Sep2012  0830	8.39
29587	09Sep2012  0900	8.39
29588	09Sep2012  0930	8.22
29589	09Sep2012  1000	8.22
29590	09Sep2012  1030	8.05
29591	09Sep2012  1100	8.05
29592	09Sep2012  1130	8.05
29593	09Sep2012  1200	7.88
29594	09Sep2012  1230	7.88
29595	09Sep2012  1300	7.88
29596	09Sep2012  1330	8.05
29597	09Sep2012  1400	8.22
29598	09Sep2012  1430	8.76
29599	09Sep2012  1500	9.69
29600	09Sep2012  1530	11.14
29601	09Sep2012  1600	12.95
29602	09Sep2012  1630	14.96
29603	09Sep2012  1700	17.14
29604	09Sep2012  1730	18.93
29605	09Sep2012  1800	20.52
29606	09Sep2012  1830	22.16
29607	09Sep2012  1900	23.55
29608	09Sep2012  1930	24.63
29609	09Sep2012  2000	25.39
29610	09Sep2012  2030	26.13
29611	09Sep2012  2100	26.89
29612	09Sep2012  2130	26.89
29613	09Sep2012  2200	27.29
29614	09Sep2012  2230	27.69
29615	09Sep2012  2300	28.08
29616	09Sep2012  2330	28.08
29617	10Sep2012  0000	28.08
29618	10Sep2012  0030	28.62
29619	10Sep2012  0100	28.62
29620	10Sep2012  0130	28.62
29621	10Sep2012  0200	28.08
29622	10Sep2012  0230	28.08
29623	10Sep2012  0300	28.08
29624	10Sep2012  0330	28.08
29625	10Sep2012  0400	28.62
29626	10Sep2012  0430	28.62
29627	10Sep2012  0500	28.62
29628	10Sep2012  0530	28.62
29629	10Sep2012  0600	28.91
29630	10Sep2012  0630	28.91
29631	10Sep2012  0700	29.19
29632	10Sep2012  0730	29.76
29633	10Sep2012  0800	29.76
29634	10Sep2012  0830	30.04
29635	10Sep2012  0900	30.61
29636	10Sep2012  0930	30.89
29637	10Sep2012  1000	30.89
29638	10Sep2012  1030	31.46
29639	10Sep2012  1100	31.46
29640	10Sep2012  1130	31.74
29641	10Sep2012  1200	32.31
29642	10Sep2012  1230	32.31
29643	10Sep2012  1300	32.59
29644	10Sep2012  1330	32.59
29645	10Sep2012  1400	32.59
29646	10Sep2012  1430	33.16
29647	10Sep2012  1500	33.16
29648	10Sep2012  1530	33.16
29649	10Sep2012  1600	33.16
29650	10Sep2012  1630	33.16
29651	10Sep2012  1700	33.16
29652	10Sep2012  1730	33.16
29653	10Sep2012  1800	33.16
29654	10Sep2012  1830	33.16
29655	10Sep2012  1900	33.16
29656	10Sep2012  1930	32.59
29657	10Sep2012  2000	32.59
29658	10Sep2012  2030	32.59
29659	10Sep2012  2100	32.59
29660	10Sep2012  2130	32.31
29661	10Sep2012  2200	32.31
29662	10Sep2012  2230	32.31
29663	10Sep2012  2300	31.74
29664	10Sep2012  2330	31.74
29665	11Sep2012  0000	31.74
29666	11Sep2012  0030	31.74
29667	11Sep2012  0100	31.46
29668	11Sep2012  0130	31.46
29669	11Sep2012  0200	31.46
29670	11Sep2012  0230	30.89
29671	11Sep2012  0300	30.89
29672	11Sep2012  0330	30.89
29673	11Sep2012  0400	30.61
29674	11Sep2012  0430	30.61
29675	11Sep2012  0500	30.61
29676	11Sep2012  0530	30.04
29677	11Sep2012  0600	30.04
29678	11Sep2012  0630	30.04
29679	11Sep2012  0700	29.76
29680	11Sep2012  0730	29.76
29681	11Sep2012  0800	29.76
29682	11Sep2012  0830	29.19
29683	11Sep2012  0900	29.19
29684	11Sep2012  0930	29.19
29685	11Sep2012  1000	28.91
29686	11Sep2012  1030	28.91
29687	11Sep2012  1100	28.62
29688	11Sep2012  1130	28.62
29689	11Sep2012  1200	28.62
29690	11Sep2012  1230	28.08
29691	11Sep2012  1300	28.08
29692	11Sep2012  1330	27.69
29693	11Sep2012  1400	27.69
29694	11Sep2012  1430	27.29
29695	11Sep2012  1500	27.29
29696	11Sep2012  1530	26.89
29697	11Sep2012  1600	26.89
29698	11Sep2012  1630	26.52
29699	11Sep2012  1700	26.13
29700	11Sep2012  1730	26.13
29701	11Sep2012  1800	25.76
29702	11Sep2012  1830	25.76
29703	11Sep2012  1900	25.39
29704	11Sep2012  1930	24.99
29705	11Sep2012  2000	24.63
29706	11Sep2012  2030	24.29
29707	11Sep2012  2100	23.92
29708	11Sep2012  2130	23.92
29709	11Sep2012  2200	23.55
29710	11Sep2012  2230	23.21
29711	11Sep2012  2300	22.84
29712	11Sep2012  2330	22.50
29713	12Sep2012  0000	22.16
29714	12Sep2012  0030	21.82
29715	12Sep2012  0100	21.48
29716	12Sep2012  0130	21.17
29717	12Sep2012  0200	20.83
29718	12Sep2012  0230	20.52
29719	12Sep2012  0300	20.18
29720	12Sep2012  0330	19.87
29721	12Sep2012  0400	19.55
29722	12Sep2012  0430	19.24
29723	12Sep2012  0500	18.93
29724	12Sep2012  0530	18.62
29725	12Sep2012  0600	18.34
29726	12Sep2012  0630	18.02
29727	12Sep2012  0700	17.74
29728	12Sep2012  0730	17.43
29729	12Sep2012  0800	17.14
29730	12Sep2012  0830	16.86
29731	12Sep2012  0900	16.58
29732	12Sep2012  0930	16.29
29733	12Sep2012  1000	16.01
29734	12Sep2012  1030	15.76
29735	12Sep2012  1100	15.47
29736	12Sep2012  1130	15.22
29737	12Sep2012  1200	14.96
29738	12Sep2012  1230	14.68
29739	12Sep2012  1300	14.42
29740	12Sep2012  1330	14.17
29741	12Sep2012  1400	13.91
29742	12Sep2012  1430	13.69
29743	12Sep2012  1500	13.43
29744	12Sep2012  1530	13.21
29745	12Sep2012  1600	12.95
29746	12Sep2012  1630	12.95
29747	12Sep2012  1700	12.72
29748	12Sep2012  1730	12.47
29749	12Sep2012  1800	12.24
29750	12Sep2012  1830	12.02
29751	12Sep2012  1900	12.02
29752	12Sep2012  1930	11.79
29753	12Sep2012  2000	11.59
29754	12Sep2012  2030	11.36
29755	12Sep2012  2100	11.36
29756	12Sep2012  2130	11.14
29757	12Sep2012  2200	10.94
29758	12Sep2012  2230	10.71
29759	12Sep2012  2300	10.51
29760	12Sep2012  2330	10.51
29761	13Sep2012  0000	10.32
29762	13Sep2012  0030	10.09
29763	13Sep2012  0100	10.09
29764	13Sep2012  0130	9.89
29765	13Sep2012  0200	9.69
29766	13Sep2012  0230	9.69
29767	13Sep2012  0300	9.52
29768	13Sep2012  0330	9.52
29769	13Sep2012  0400	9.32
29770	13Sep2012  0430	9.13
29771	13Sep2012  0500	9.13
29772	13Sep2012  0530	8.93
29773	13Sep2012  0600	8.93
29774	13Sep2012  0630	8.76
29775	13Sep2012  0700	8.76
29776	13Sep2012  0730	8.59
29777	13Sep2012  0800	8.39
29778	13Sep2012  0830	8.22
29779	13Sep2012  0900	8.22
29780	13Sep2012  0930	8.05
29781	13Sep2012  1000	8.05
29782	13Sep2012  1030	7.88
29783	13Sep2012  1100	7.88
29784	13Sep2012  1130	7.71
29785	13Sep2012  1200	7.71
29786	13Sep2012  1230	7.54
29787	13Sep2012  1300	7.54
29788	13Sep2012  1330	7.37
29789	13Sep2012  1400	7.37
29790	13Sep2012  1430	7.20
29791	13Sep2012  1500	7.20
29792	13Sep2012  1530	7.20
29793	13Sep2012  1600	7.06
29794	13Sep2012  1630	7.06
29795	13Sep2012  1700	6.89
29796	13Sep2012  1730	6.89
29797	13Sep2012  1800	6.74
29798	13Sep2012  1830	6.74
29799	13Sep2012  1900	6.74
29800	13Sep2012  1930	6.57
29801	13Sep2012  2000	6.57
29802	13Sep2012  2030	6.43
29803	13Sep2012  2100	6.29
29804	13Sep2012  2130	6.29
29805	13Sep2012  2200	6.29
29806	13Sep2012  2230	6.15
29807	13Sep2012  2300	6.15
29808	13Sep2012  2330	6.01
29809	14Sep2012  0000	6.01
29810	14Sep2012  0030	6.01
29811	14Sep2012  0100	5.87
29812	14Sep2012  0130	5.87
29813	14Sep2012  0200	5.87
29814	14Sep2012  0230	5.72
29815	14Sep2012  0300	5.72
29816	14Sep2012  0330	5.72
29817	14Sep2012  0400	5.58
29818	14Sep2012  0430	5.58
29819	14Sep2012  0500	5.58
29820	14Sep2012  0530	5.58
29821	14Sep2012  0600	5.58
29822	14Sep2012  0630	5.44
29823	14Sep2012  0700	5.44
29824	14Sep2012  0730	5.44
29825	14Sep2012  0800	5.33
29826	14Sep2012  0830	5.33
29827	14Sep2012  0900	5.33
29828	14Sep2012  0930	5.33
29829	14Sep2012  1000	5.19
29830	14Sep2012  1030	5.19
29831	14Sep2012  1100	5.19
29832	14Sep2012  1130	5.19
29833	14Sep2012  1200	5.19
29834	14Sep2012  1230	5.19
29835	14Sep2012  1300	5.19
29836	14Sep2012  1330	5.02
29837	14Sep2012  1400	5.02
29838	14Sep2012  1430	5.02
29839	14Sep2012  1500	5.02
29840	14Sep2012  1530	4.87
29841	14Sep2012  1600	4.87
29842	14Sep2012  1630	4.87
29843	14Sep2012  1700	4.87
29844	14Sep2012  1730	4.87
29845	14Sep2012  1800	4.73
29846	14Sep2012  1830	4.73
29847	14Sep2012  1900	4.73
29848	14Sep2012  1930	4.73
29849	14Sep2012  2000	4.56
29850	14Sep2012  2030	4.56
29851	14Sep2012  2100	4.56
29852	14Sep2012  2130	4.56
29853	14Sep2012  2200	4.42
29854	14Sep2012  2230	4.42
29855	14Sep2012  2300	4.42
29856	14Sep2012  2330	4.42
29857	15Sep2012  0000	4.42
29858	15Sep2012  0030	4.42
29859	15Sep2012  0100	4.28
29860	15Sep2012  0130	4.28
29861	15Sep2012  0200	4.28
29862	15Sep2012  0230	4.28
29863	15Sep2012  0300	4.28
29864	15Sep2012  0330	4.28
29865	15Sep2012  0400	4.14
29866	15Sep2012  0430	4.14
29867	15Sep2012  0500	4.14
29868	15Sep2012  0530	4.14
29869	15Sep2012  0600	4.14
29870	15Sep2012  0630	4.00
29871	15Sep2012  0700	4.00
29872	15Sep2012  0730	4.00
29873	15Sep2012  0800	4.00
29874	15Sep2012  0830	4.00
29875	15Sep2012  0900	3.85
29876	15Sep2012  0930	3.85
29877	15Sep2012  1000	3.85
29878	15Sep2012  1030	3.85
29879	15Sep2012  1100	3.68
29880	15Sep2012  1130	3.68
29881	15Sep2012  1200	3.68
29882	15Sep2012  1230	3.68
29883	15Sep2012  1300	3.68
29884	15Sep2012  1330	3.68
29885	15Sep2012  1400	3.51
29886	15Sep2012  1430	3.51
29887	15Sep2012  1500	3.51
29888	15Sep2012  1530	3.51
29889	15Sep2012  1600	3.51
29890	15Sep2012  1630	3.37
29891	15Sep2012  1700	3.37
29892	15Sep2012  1730	3.37
29893	15Sep2012  1800	3.37
29894	15Sep2012  1830	3.37
29895	15Sep2012  1900	3.37
29896	15Sep2012  1930	3.37
29897	15Sep2012  2000	3.23
29898	15Sep2012  2030	3.23
29899	15Sep2012  2100	3.23
29900	15Sep2012  2130	3.23
29901	15Sep2012  2200	3.23
29902	15Sep2012  2230	3.23
29903	15Sep2012  2300	3.23
29904	15Sep2012  2330	3.09
29905	16Sep2012  0000	3.09
29906	16Sep2012  0030	3.09
29907	16Sep2012  0100	3.09
29908	16Sep2012  0130	3.09
29909	16Sep2012  0200	3.09
29910	16Sep2012  0230	3.09
29911	16Sep2012  0300	2.98
29912	16Sep2012  0330	2.98
29913	16Sep2012  0400	2.98
29914	16Sep2012  0430	2.98
29915	16Sep2012  0500	2.98
29916	16Sep2012  0530	2.98
29917	16Sep2012  0600	2.98
29918	16Sep2012  0630	2.98
29919	16Sep2012  0700	2.98
29920	16Sep2012  0730	2.86
29921	16Sep2012  0800	2.86
29922	16Sep2012  0830	2.86
29923	16Sep2012  0900	2.86
29924	16Sep2012  0930	2.86
29925	16Sep2012  1000	2.75
29926	16Sep2012  1030	2.75
29927	16Sep2012  1100	2.75
29928	16Sep2012  1130	2.75
29929	16Sep2012  1200	2.75
29930	16Sep2012  1230	2.75
29931	16Sep2012  1300	2.75
29932	16Sep2012  1330	2.75
29933	16Sep2012  1400	2.75
29934	16Sep2012  1430	2.75
29935	16Sep2012  1500	2.64
29936	16Sep2012  1530	2.64
29937	16Sep2012  1600	2.64
29938	16Sep2012  1630	2.64
29939	16Sep2012  1700	2.64
29940	16Sep2012  1730	2.64
29941	16Sep2012  1800	2.64
29942	16Sep2012  1830	2.64
29943	16Sep2012  1900	2.64
29944	16Sep2012  1930	2.64
29945	16Sep2012  2000	2.64
29946	16Sep2012  2030	2.52
29947	16Sep2012  2100	2.52
29948	16Sep2012  2130	2.52
29949	16Sep2012  2200	2.52
29950	16Sep2012  2230	2.52
29951	16Sep2012  2300	2.52
29952	16Sep2012  2330	2.52
29953	17Sep2012  0000	2.52
29954	17Sep2012  0030	2.52
29955	17Sep2012  0100	2.41
29956	17Sep2012  0130	2.41
29957	17Sep2012  0200	2.41
29958	17Sep2012  0230	2.41
29959	17Sep2012  0300	2.41
29960	17Sep2012  0330	2.41
29961	17Sep2012  0400	2.41
29962	17Sep2012  0430	2.41
29963	17Sep2012  0500	2.41
29964	17Sep2012  0530	2.41
29965	17Sep2012  0600	2.41
29966	17Sep2012  0630	2.41
29967	17Sep2012  0700	2.41
29968	17Sep2012  0730	2.41
29969	17Sep2012  0800	2.41
29970	17Sep2012  0830	2.30
29971	17Sep2012  0900	2.30
29972	17Sep2012  0930	2.30
29973	17Sep2012  1000	2.30
29974	17Sep2012  1030	2.30
29975	17Sep2012  1100	2.30
29976	17Sep2012  1130	2.30
29977	17Sep2012  1200	2.30
29978	17Sep2012  1230	2.30
29979	17Sep2012  1300	2.30
29980	17Sep2012  1330	2.30
29981	17Sep2012  1400	2.30
29982	17Sep2012  1430	2.30
29983	17Sep2012  1500	2.30
29984	17Sep2012  1530	2.21
29985	17Sep2012  1600	2.21
29986	17Sep2012  1630	2.21
29987	17Sep2012  1700	2.21
29988	17Sep2012  1730	2.21
29989	17Sep2012  1800	2.21
29990	17Sep2012  1830	2.21
29991	17Sep2012  1900	2.21
29992	17Sep2012  1930	2.21
29993	17Sep2012  2000	2.21
29994	17Sep2012  2030	2.21
29995	17Sep2012  2100	2.21
29996	17Sep2012  2130	2.21
29997	17Sep2012  2200	2.21
29998	17Sep2012  2230	2.21
29999	17Sep2012  2300	2.21
30000	17Sep2012  2330	2.21
30001	18Sep2012  0000	2.21
30002	18Sep2012  0030	2.21
30003	18Sep2012  0100	2.21
30004	18Sep2012  0130	2.21
30005	18Sep2012  0200	2.21
30006	18Sep2012  0230	2.21
30007	18Sep2012  0300	2.21
30008	18Sep2012  0330	2.21
30009	18Sep2012  0400	2.21
30010	18Sep2012  0430	2.21
30011	18Sep2012  0500	2.30
30012	18Sep2012  0530	2.30
30013	18Sep2012  0600	2.30
30014	18Sep2012  0630	2.30
30015	18Sep2012  0700	2.41
30016	18Sep2012  0730	2.41
30017	18Sep2012  0800	2.41
30018	18Sep2012  0830	2.41
30019	18Sep2012  0900	2.41
30020	18Sep2012  0930	2.41
30021	18Sep2012  1000	2.41
30022	18Sep2012  1030	2.41
30023	18Sep2012  1100	2.41
30024	18Sep2012  1130	2.41
30025	18Sep2012  1200	2.41
30026	18Sep2012  1230	2.41
30027	18Sep2012  1300	2.41
30028	18Sep2012  1330	2.41
30029	18Sep2012  1400	2.41
30030	18Sep2012  1430	2.41
30031	18Sep2012  1500	2.41
30032	18Sep2012  1530	2.41
30033	18Sep2012  1600	2.41
30034	18Sep2012  1630	2.41
30035	18Sep2012  1700	2.41
30036	18Sep2012  1730	2.41
30037	18Sep2012  1800	2.52
30038	18Sep2012  1830	2.52
30039	18Sep2012  1900	2.52
30040	18Sep2012  1930	2.52
30041	18Sep2012  2000	2.64
30042	18Sep2012  2030	2.64
30043	18Sep2012  2100	2.64
30044	18Sep2012  2130	2.64
30045	18Sep2012  2200	2.75
30046	18Sep2012  2230	2.75
30047	18Sep2012  2300	2.75
30048	18Sep2012  2330	2.75
30049	19Sep2012  0000	2.75
30050	19Sep2012  0030	2.75
30051	19Sep2012  0100	2.75
30052	19Sep2012  0130	2.75
30053	19Sep2012  0200	2.75
30054	19Sep2012  0230	2.75
30055	19Sep2012  0300	2.75
30056	19Sep2012  0330	2.75
30057	19Sep2012  0400	2.75
30058	19Sep2012  0430	2.75
30059	19Sep2012  0500	2.75
30060	19Sep2012  0530	2.75
30061	19Sep2012  0600	2.75
30062	19Sep2012  0630	2.64
30063	19Sep2012  0700	2.64
30064	19Sep2012  0730	2.64
30065	19Sep2012  0800	2.64
30066	19Sep2012  0830	2.64
30067	19Sep2012  0900	2.64
30068	19Sep2012  0930	2.64
30069	19Sep2012  1000	2.52
30070	19Sep2012  1030	2.52
30071	19Sep2012  1100	2.52
30072	19Sep2012  1130	2.52
30073	19Sep2012  1200	2.52
30074	19Sep2012  1230	2.52
30075	19Sep2012  1300	2.52
